순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
32,마스터,2016-12-21,"18,283,286,800",1.0%,"2,215,221","1,501",한국,한국,씨제이이앤엠(주)
33,로건,2017-03-01,"18,391,060,223",1.1%,"2,169,109",954,미국,미국,이십세기폭스코리아(주)
34,원더 우먼,2017-05-31,"17,468,588,886",1.0%,"2,165,401","1,034",미국,미국,워너브러더스 코리아(주)
35,겟 아웃,2017-05-17,"17,431,570,075",1.0%,"2,138,146",945,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
36,혹성탈출: 종의 전쟁,2017-08-15,"16,854,482,778",1.0%,"2,051,315","1,017",미국,미국,이십세기폭스코리아(주)
37,1987,2017-12-27,"15,254,004,037",0.9%,"1,942,077","1,299",한국,한국,씨제이이앤엠(주)
38,애나벨 : 인형의 주인,2017-08-10,"15,526,858,738",0.9%,"1,934,192","1,006",미국,미국,워너브러더스 코리아(주)
39,노무현입니다,2017-05-25,"14,554,935,612",0.8%,"1,854,867",775,한국,한국,"CGV아트하우스,영화사 풀"
40,저스티스 리그,2017-11-15,"14,629,677,795",0.8%,"1,786,383","1,308",미국,미국,워너브러더스 코리아(주)
41,킬러의 보디가드,2017-08-30,"14,020,395,800",0.8%,"1,721,757",482,미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
42,콩: 스컬 아일랜드,2017-03-08,"13,990,563,383",0.8%,"1,689,717",984,미국,미국,워너브러더스 코리아(주)
43,23 아이덴티티,2017-02-22,"13,609,456,135",0.8%,"1,675,798",952,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
44,임금님의 사건수첩,2017-04-26,"12,648,793,723",0.7%,"1,634,403","1,054",한국,한국,씨제이이앤엠(주)
45,부라더,2017-11-02,"11,783,109,998",0.7%,"1,492,903",889,한국,한국,메가박스중앙(주)플러스엠
46,기억의 밤,2017-11-29,"10,646,654,660",0.6%,"1,386,611",751,한국,한국,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니"
47,해피 데스데이,2017-11-08,"11,004,455,402",0.6%,"1,382,650",714,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
48,브이아이피,2017-08-23,"10,956,621,835",0.6%,"1,373,316",996,한국,한국,워너브러더스 코리아(주)
49,특별시민,2017-04-26,"10,494,768,945",0.6%,"1,362,634","1,154",한국,한국,(주)쇼박스
50,에이리언: 커버넌트,2017-05-09,"10,745,826,264",0.6%,"1,307,226",841,미국,"미국,호주,뉴질랜드",이십세기폭스코리아(주)
51,장산범,2017-08-17,"10,341,783,083",0.6%,"1,306,438",711,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
52,악녀,2017-06-08,"9,739,662,144",0.6%,"1,208,081",685,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
